player_ID,Player,lg_ID,year_ID,Pos,Age,Tm,G,MP,OWS,DWS,WS,WSAA
piercpa01,Paul Pierce,NBA,2017,SF,39,LAC,23,269,-0.2,0.3,0.1,-0.467567544
stonedi01,Diamond Stone,NBA,2017,C,19,LAC,7,24,-0.1,0,-0.1,-0.150637997
johnsbr02,Brice Johnson,NBA,2017,PF,22,LAC,2,7,-0.1,0,0,-0.014769416
clarkjo01,Jordan Clarkson,NBA,2017,SG,24,LAL,79,2308,0.4,0.6,1,-3.869687331
ingrabr01,Brandon Ingram,NBA,2017,SF,19,LAL,76,2191,-0.7,0.5,-0.2,-4.822827098
randlju01,Julius Randle,NBA,2017,PF,22,LAL,71,2064,1.8,1.4,3.2,-1.154867699
russeda01,D'Angelo Russell,NBA,2017,PG,20,LAL,62,1776,0.4,0.9,1.4,-2.347211741
youngni01,Nick Young,NBA,2017,SG,31,LAL,60,1556,3,0.2,3.1,-0.183030107
denglu01,Luol Deng,NBA,2017,SF,31,LAL,56,1486,0.1,0.7,0.9,-2.23533595
willilo02,Lou Williams,NBA,2017,SG,30,LAL,58,1403,4.3,0.6,4.9,1.939787121
nancela02,Larry Nance Jr.,NBA,2017,PF,24,LAL,60,1347,1.9,1.3,3.2,0.357942446
mozgoti01,Timofey Mozgov,NBA,2017,C,30,LAL,54,1104,0.7,0.4,1.1,-1.229347839
blackta01,Tarik Black,NBA,2017,C,25,LAL,64,1039,1.5,0.7,2.2,0.007796735
zubaciv01,Ivica Zubac,NBA,2017,C,19,LAL,38,609,0.6,0.5,1.1,-0.184939161
robinth01,Thomas Robinson,NBA,2017,PF,25,LAL,45,511,0.4,0.6,1,-0.078167342
nwabada01,David Nwaba,NBA,2017,SG,24,LAL,18,344,0.5,0.2,0.6,-0.125811283
ennisty01,Tyler Ennis,NBA,2017,PG,22,LAL,19,302,0.3,0.1,0.5,-0.137194789
breweco01,Corey Brewer,NBA,2017,SF,30,LAL,21,301,-0.1,0.2,0.2,-0.435084873
caldejo01,Jose Calderon,NBA,2017,PG,35,LAL,24,292,-0.1,0.1,0,-0.616095624
huertma01,Marcelo Huertas,NBA,2017,PG,33,LAL,23,237,-0.2,0.1,-0.1,-0.600050215
artesro01,Metta World Peace,NBA,2017,SF,37,LAL,22,115,-0.3,0,-0.3,-0.5426404
gasolma01,Marc Gasol,NBA,2017,C,32,MEM,72,2482,4.1,3.5,7.6,2.363187195
conlemi01,Mike Conley,NBA,2017,PG,29,MEM,67,2251,7.2,2.5,9.7,4.950577911
greenja01,JaMychal Green,NBA,2017,PF,26,MEM,75,2056,3.2,2.6,5.7,1.362011633
allento01,Tony Allen,NBA,2017,SG,35,MEM,69,1888,0.1,2.9,3,-0.983522392
randoza01,Zach Randolph,NBA,2017,PF,35,MEM,72,1767,0.8,2.4,3.2,-0.528222493
cartevi01,Vince Carter,NBA,2017,SG,40,MEM,71,1755,1.9,2.1,4,0.297096506
ennisja01,James Ennis,NBA,2017,SF,26,MEM,63,1479,1.4,1.7,3.1,-0.020566535
harrian01,Andrew Harrison,NBA,2017,SG,22,MEM,70,1436,0,1.5,1.5,-1.529840124
danietr01,Troy Daniels,NBA,2017,SG,25,MEM,65,1145,0.6,0.8,1.4,-1.015854417
parsoch01,Chandler Parsons,NBA,2017,SF,28,MEM,34,675,-0.5,0.7,0.2,-1.224193652
